region,year,genres,count
Africa,1916,Drama,1
Africa,1916,Historical fiction,1
Africa,1916,Silent film,1
Africa,1932,Black-and-white,1
Africa,1932,Drama,1
Africa,1936,Musical,1
Africa,1936,Romance Film,1
Africa,1937,Comedy,1
Africa,1937,Comedy film,1
Africa,1937,World cinema,1
Africa,1944,Drama,2
Africa,1944,Musical,1
Africa,1944,Romance Film,1
Africa,1946,Black-and-white,1
Africa,1947,Black-and-white,1
Africa,1947,Short Film,1
Africa,1948,Black-and-white,1
Africa,1948,Drama,1
Africa,1948,Romance Film,1
Africa,1949,Comedy,1
Africa,1949,Comedy film,1
Africa,1949,Drama,2
Africa,1949,Musical,1
Africa,1949,Romance Film,2
Africa,1951,Comedy film,1
Africa,1951,Crime Fiction,1
Africa,1951,Drama,1
Africa,1952,Black-and-white,2
Africa,1952,Comedy,1
Africa,1952,Costume drama,1
Africa,1952,Drama,1
Africa,1952,Epic,1
Africa,1952,Film adaptation,1
Africa,1952,Romance Film,1
Africa,1952,Romantic drama,1
Africa,1952,Tragedy,1
Africa,1953,Drama,1
Africa,1954,Black-and-white,1
Africa,1954,Crime Fiction,2
Africa,1954,Drama,3
Africa,1954,Mystery,1
Africa,1954,Romance Film,3
Africa,1955,Black-and-white,1
Africa,1955,Comedy,1
Africa,1955,Drama,4
Africa,1955,Musical,1
Africa,1955,Romance Film,2
Africa,1955,Romantic drama,1
Africa,1956,Action,1
Africa,1956,Black-and-white,1
Africa,1956,Crime Fiction,1
Africa,1956,Drama,3
Africa,1956,Musical,1
Africa,1956,Romance Film,2
Africa,1957,Drama,2
Africa,1957,Romance Film,2
Africa,1957,War film,1
Africa,1958,Crime Fiction,2
Africa,1958,Drama,4
Africa,1958,Ensemble Film,1
Africa,1958,Mystery,1
Africa,1958,Romance Film,2
Africa,1958,Slice of life story,1
Africa,1958,Tragicomedy,1
Africa,1958,World cinema,1
Africa,1959,Drama,2
Africa,1959,Romance Film,2
Africa,1959,Romantic drama,1
Africa,1959,World cinema,1
Africa,1960,Documentary,1
Africa,1960,Drama,3
Africa,1960,Romance Film,2
Africa,1961,Adventure,1
Africa,1961,Drama,2
Africa,1961,Western,1
Africa,1962,Adventure,1
Africa,1962,Black-and-white,1
Africa,1962,Drama,1
Africa,1963,Adventure,1
Africa,1963,Black-and-white,1
Africa,1963,Crime Fiction,1
Africa,1963,Documentary,1
Africa,1963,Drama,2
Africa,1963,Short Film,1
Africa,1963,Social problem film,1
Africa,1963,Thriller,1
Africa,1963,War film,1
Africa,1964,Black-and-white,1
Africa,1964,Mystery,1
Africa,1965,Action,2
Africa,1965,Adventure,1
Africa,1965,Comedy,2
Africa,1965,Drama,3
Africa,1965,World cinema,1
Africa,1966,Action,1
Africa,1966,Action/Adventure,1
Africa,1966,Adventure,1
Africa,1966,Black-and-white,1
Africa,1966,Comedy,1
Africa,1966,Crime Fiction,1
Africa,1966,Drama,2
Africa,1966,Historical drama,1
Africa,1966,Musical,1
Africa,1966,Political drama,1
Africa,1966,Thriller,1
Africa,1966,War film,2
Africa,1966,World cinema,2
Africa,1967,Action/Adventure,1
Africa,1967,Adventure,1
Africa,1967,Crime Fiction,1
Africa,1967,Drama,3
Africa,1967,Film adaptation,1
Africa,1967,Glamorized Spy Film,1
Africa,1967,Spy,1
Africa,1967,Thriller,1
Africa,1967,Western,1
Africa,1967,World cinema,3
Africa,1968,Comedy,1
Africa,1968,Drama,3
Africa,1968,Parody,1
Africa,1968,Satire,1
Africa,1968,World cinema,1
Africa,1969,Animation,1
Africa,1969,Crime Fiction,1
Africa,1969,Drama,4
Africa,1969,History,1
Africa,1969,Musical,1
Africa,1969,Mystery,1
Africa,1969,Political drama,1
Africa,1969,Political thriller,1
Africa,1969,Short Film,1
Africa,1969,Thriller,1
Africa,1969,World cinema,1
Africa,1970,Action,2
Africa,1970,Adventure,1
Africa,1970,Comedy-drama,1
Africa,1970,Documentary,1
Africa,1970,Drama,2
Africa,1970,Horror,1
Africa,1970,Mystery,1
Africa,1970,Romance Film,1
Africa,1970,Short Film,1
Africa,1970,War film,1
Africa,1971,Comedy,1
Africa,1971,Documentary,1
Africa,1971,Drama,1
Africa,1971,Short Film,1
Africa,1972,Action,1
Africa,1972,Adventure,1
Africa,1972,Drama,1
Africa,1973,Adventure,1
Africa,1973,Drama,2
Africa,1973,Road movie,1
Africa,1973,Romance Film,1
Africa,1973,Romantic drama,1
Africa,1973,Science Fiction,1
Africa,1973,World cinema,1
Africa,1974,Animals,1
Africa,1974,Animation,1
Africa,1974,Documentary,1
Africa,1974,Drama,1
Africa,1974,Educational,1
Africa,1974,Nature,1
Africa,1974,Short Film,1
Africa,1974,World cinema,1
Africa,1975,Black comedy,1
Africa,1975,Comedy,1
Africa,1975,Drama,4
Africa,1975,Satire,1
Africa,1975,Sex comedy,1
Africa,1975,War film,1
Africa,1975,World cinema,2
Africa,1976,Action,4
Africa,1976,Albino bias,2
Africa,1976,Black-and-white,1
Africa,1976,Comedy film,1
Africa,1976,Costume drama,2
Africa,1976,Drama,5
Africa,1976,Epic,2
Africa,1976,Historical fiction,1
Africa,1976,Horror,1
Africa,1976,Indie,2
Africa,1976,Mystery,1
Africa,1976,Period piece,3
Africa,1976,Political drama,2
Africa,1976,Science Fiction,1
Africa,1976,Thriller,2
